"id","UF","População 2016","nome","Total da Despesa por Função per capita","Legislativa per capita","Judiciária per capita","Essencial à Justiça per capita","Administração per capita","Defesa Nacional per capita","Segurança Pública per capita","Relações Exteriores per capita","Assistência Social per capita","Previdência Social per capita","Saúde per capita","Trabalho per capita","Educação per capita","Cultura per capita","Direitos da Cidadania per capita","Urbanismo per capita","Habitação per capita","Saneamento per capita","Gestão Ambiental per capita","Ciência e Tecnologia per capita","Agricultura per capita","Organização Agrária per capita","Indústria per capita","Comércio e Serviços per capita","Comunicações per capita","Energia per capita","Transporte per capita","Desporto e Lazer per capita","Encargos Especiais per capita","TOTAL DA DESPESA POR FUNÇÃO (INTRAORÇAMENTÁRIA) per capita","TOTAL GERAL DA DESPESA POR FUNÇÃO per capita"
2700102,"AL",20422,"Água Branca",2130.93812408187,64.1691269219469,0,0,188.560573401234,0,0,0,56.3446709431006,0,381.527966898443,0,1049.79234795808,56.0131000881402,0,222.037834688081,0,0,0,0,48.7413955538145,0,0,0,0,0,0,12.6426721183038,51.1084355107237,0,2130.93812408187
2700201,"AL",17832,"Anadia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700300,"AL",232671,"Arapiraca",2655.76405035436,46.2987554959578,7.9347274477696,0,390.444666675263,0.307553412328997,0,0,29.6699043284294,207.448719479437,796.669524220896,160.239075346734,620.900146601854,4.41927962659721,3.30178273184024,244.895903614976,0.325247710286198,47.372145303884,1.0707183533831,0,14.3703166703199,0,0,1.62114290134997,0,0,9.93738042128155,23.5096668686686,45.0273931431077,0,2655.76405035436
2700409,"AL",47528,"Atalaia",1775.01940182629,58.9634853139202,0,0,184.9083087864,0,39.9456425685911,0,37.0288560427537,285.060606800202,371.163289218987,0,640.293251977782,8.32623737586265,0,134.922486323851,0,0,1.15671288503619,0,3.52743077764686,0,0,0,0,0,0,2.70780234808955,7.01529140717051,190.547491373506,1965.5668931998
2700508,"AL",15909,"Barra de Santo Antônio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700607,"AL",8336,"Barra de São Miguel",3717.73207293666,151.124467370441,12.6640870921305,0,526.222251679463,0,0,0,144.488572456814,0,658.560223128599,0,1322.83357005758,1.81693018234165,0,606.034640115163,0,0,33.8243953934741,0,0,0,0,157.172982245681,0,0,0,3.4412919865643,99.5486612284069,0,3717.73207293666
2700706,"AL",18631,"Batalha",2339.1023723901,74.6382029950083,0,0,354.167055445226,0,0,0,66.5493532284901,154.755583704578,635.525978208362,0,910.947724759809,0.0214695936879395,0,97.3181579088616,0,0,3.18030916214911,0,39.9990118619505,0,0,0,0,0,0,1.9995255219795,0,0,2339.1023723901
2700805,"AL",4517,"Belém",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700904,"AL",6786,"Belo Monte",2806.05224580018,103.601470674919,0,0,315.435243147657,0,0,0,80.3242764515178,73.426074270557,567.524226348364,0,1142.51703949307,16.5464190981432,0,219.952126436782,0,0,14.0025213675214,0,123.996584143826,0,0,0,0,0,119.844556439729,1.8886074270557,26.9931005010315,79.8235543766578,2885.87580017683
2701001,"AL",27498,"Boca da Mata",2893.75541603026,78.5813582806022,11.6393697723471,0,277.689916721216,0,0,0,124.275983707906,174.802219434141,609.507255073096,0,834.89173430795,9.05682340533857,0,575.491512109972,0,60.808697359808,0,0,66.8594832351444,0,0.0188875554585788,0.410019274129028,0,0,8.43419194123209,61.2879638519165,0,0,2893.75541603026
