"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
1100304,"RO",93745,"Vilhena",251533626.42,233377896.56,14230215.79,5106388.86,5482197.67,3641629.26,14955132,0,163136617.97,163136617.97,67822014.1,31069187.69,30643024.21,426163.48,0,32648511.79,677764.33,2227364.25,73628.24,62237232.21,59162520.42,49368156.01,9357230.66,231589.43,205544.32,0,0,0
1400050,"RR",16053,"Alto Alegre",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400027,"RR",11285,"Amajari",22359912.82,21100138.93,140502.05,140502.05,0,0,1134552.17,0,19659085.7,19659085.7,9786397.33,4950925.21,4895172.16,55753.05,0,2190581.14,0,256017.41,0,4041840.72,3664225.24,3562073.68,7848.23,0,94303.33,0,0,0
1400100,"RR",326419,"Boa Vista",1022134952.89,974138649.04,40272428.41,19911258.82,20361169.59,0,0,0,796803649.97,793693561.53,487988757.61,416350513.02,416106675.14,243837.88,0,58255804.76,4171030.22,4925173.85,132687,148929284.04,148929284.04,126140540.85,21944574.22,10162.74,834006.23,0,0,3011088.44
1400159,"RR",11843,"Bonfim",33365178.41,26474612.7,1698294.91,1698294.91,0,0,0,0,23951858.47,23437369.1,7421255.37,3611898.43,3481146.08,130752.35,0,3063677.42,429195.47,271403.76,3168.99,3803901.27,3441221.97,3271744.15,73139.24,275.01,96063.57,0,0,514489.37
1400175,"RR",16516,"Cantá",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400209,"RR",20537,"Caracaraí",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400233,"RR",9331,"Caroebe",28841608.42,19461116.5,4945.48,0,4945.48,0,0,0,18706250.45,18255528.56,7335906.26,3681586.65,3671379.12,10207.53,0,2786094.53,334806.36,496320.22,3912,4255282.6,4214142.35,4079011.71,62023.05,297.88,72809.71,0,0,450721.89
1400282,"RR",10592,"Iracema",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400308,"RR",16618,"Mucajaí",33120105.56,30737014.8,143072.02,43462.78,99609.24,0,1299274.07,0,28530602.99,28530602.99,10904365.82,6292548.98,6248313.22,44235.76,0,3601344.41,458213.81,162367.26,4004.11,4905003.48,4506681.15,4181279.41,201536.23,0,123865.51,0,0,0
1400407,"RR",10339,"Normandia",23220035.56,23814655.31,7731.64,0,7731.64,0,499430.21,0,22974812.7,20552492.7,6902814.11,3674874.99,3671379.12,3495.87,0,2200208.2,299328.42,686247.19,3470.75,3613216.14,3598216.14,3216865.19,293594.6,262.52,74862.18,12631.65,0,2422320
1400456,"RR",12144,"Pacaraima",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400472,"RR",27756,"Rorainópolis",53185939.09,48907823.26,843774.85,505427.05,262878.54,75469.26,1364922.5,0,46198416,46198416,15319256.2,8106781.61,8086530.82,20250.79,0,4873795.52,733380.41,1342575.4,823.68,7258810.86,4787176.3,4701364.61,85661.3,150.39,0,0,0,0
1400506,"RR",7629,"São João da Baliza",15062794.93,14490649.05,41027.88,0,31435.59,9592.29,289914.49,0,13789384.61,13762932.97,5244831.03,3677747.67,3671379.14,6368.53,0,1141844.11,211640.58,177117.11,3285,3444171.28,3282229.05,3122740.62,89946.02,402.25,69140.16,0,0,26451.64
1400605,"RR",7503,"São Luiz",16803742.23,18124352.8,107243.44,0,94030.24,13213.2,720299.41,0,16881853.03,12190934.48,5829758.26,3682835.64,3671379.12,11456.52,0,1770913.96,238157.58,102580.75,3266.64,3328162.16,3172542.65,3105227.69,67314.96,0,0,0,0,4690918.55
