id,UF,População 2016,Municípios,Receita Total,Receitas Correntes,Impostos Patrimônio e Renda,IPTU,IRRF,ITBI,ISS,Receita Agropecuária,Transferências Correntes,Transferências Intergovernamentais,Transferências da União,Participação na Receita da União,FPM,ITR,IOF- Ouro,SUS Fundo a Fundo - União,FNAS,FNDE,ICMS - Desoneração Lei Kandir,Transferências dos Estados,Participação na Receita dos Estados,ICMS,IPVA,IPI - Exportação,CIDE,Outras Participações na Receita dos Estados,Transferências dos Municípios,Transferências de Convênios
2610509,PE,28935,Passira,54973045.64,53996884.99,979006.93,65071.83,832063.16,81871.94,680396.69,0,49210609.63,49210609.63,28870018.56,20829758.59,20816421.21,13337.38,0,5762679.34,444230.57,1660340.68,8601.96,4975297.93,4975297.93,3974791.6,650002.38,6630.83,42144.47,301728.65,0,0
2610608,PE,55493,Paudalho,86759210.21,93438319.93,2712148.03,953334.58,1242099.64,516713.81,1359312.06,0,85200423.15,84722315.91,47357773.2,32765873.26,32711519.02,54354.24,0,10227274.54,810547.34,3045223.29,15504.08,9120034.04,9120034.04,7164056.82,1607630.08,11944.29,71827.95,264574.9,0,478107.24
2610707,PE,325590,Paulista,436062602.31,411892642.81,31820489.88,13284374.8,10574711.01,7961404.07,25038763.99,0,302962542.06,292211477.04,155066063.65,92835573.9,92835573.9,0,0,45516820.72,3605485.45,4667462.26,141671.32,82648874.48,82188514.36,65203379.23,16583795.74,108720.03,292619.36,0,0,10198778.04
2610806,PE,22455,Pedra,43896943.15,44201662.9,347310.81,10686.82,317441.78,19182.21,388546.93,0,41276214.56,40993679.05,25399125.84,17848005.44,17842646.78,5358.66,0,5360313.26,497929.64,1535742.71,6095.2,3344808.25,3266895.76,2808231.9,419451.92,4684.92,34527.02,0,0,279884.8
2610905,PE,66524,Pesqueira,101829302.27,106773827.09,2139772.99,544374.06,1213764.87,381634.06,2755774.64,0,93539145.41,91823522.85,52674231.63,35692716.09,35685293.52,7422.57,0,12493147.58,1449566,2733849.55,22890.52,12861970.21,12709320.09,10574014.62,2035733.05,17519.45,82052.97,0,0,1128290.8
2611002,PE,35731,Petrolândia,72715430.32,80400332.46,1371607.46,114927.18,1239315.41,17364.87,1652370.71,0,74676999.89,74676999.89,34522050.16,23793194.6,23790195.62,2998.98,0,6236842.91,576019.2,2096362.01,32366.88,17324583.04,17324583.04,15176154.23,1079261.82,25295.96,0,1043871.03,0,0
2611101,PE,337683,Petrolina,607294341.55,606182862.73,33056814.69,9142256.41,16368792.35,7545765.93,42047706.81,0,446197744.98,425255714.56,165974510.71,93297944.57,92835573.9,462370.67,0,49732000.36,5961584.49,15974381.86,175198.72,102992888.59,102546175.29,80905358.19,21129163.06,134970.26,297677.96,79005.82,0,20942030.42
2611200,PE,11266,Poção,26362667.83,29227915.87,233395.07,23428.57,195020.8,14945.7,194780,0,28160274.79,28151567.11,16492348.23,11897015.58,11895097.87,1917.71,0,2967210.84,306677.73,1212960.03,6868,3479324.83,3467839.83,3235968.21,196118.95,16758.44,12493.32,6500.91,0,8707.68
2611309,PE,26902,Pombos,56186661.66,57334388.56,1436157.94,367243.11,1001697.06,67217.77,729976.52,0,51004308.59,50839512.74,27828306.73,20823437.04,20816421.21,7015.83,0,4851991.32,407056.85,1565110.48,15883.52,8540569.03,8463309.78,7408289.14,1001855.27,12322.89,40842.48,0,0,164795.85
2611408,PE,14657,Primavera,28243074.76,32170588.07,423823.49,0,423823.49,0,0,0,31162461.02,31162461.02,18351160.2,14876199.85,14868872.27,7327.58,0,2367988.31,382808.81,594534,11857.28,5898080.66,5867062.27,5475815.89,287041.92,9134.83,26358.87,68710.76,0,0
2611507,PE,25686,Quipapá,53109031.6,53959816.4,638135.2,0,609442.26,10690,307643.13,0,51074552.52,50863330.45,28577547.95,20827783.37,20816421.21,11362.16,0,4794485.16,635117.35,2148530,7696.8,4110271.75,3881525.82,3557164.94,278381.6,5934.48,40044.8,0,0,211222.07
2611533,PE,6812,Quixaba,23801407.73,23694994.32,189403.68,18042.99,169160.69,2200,367990.16,0,21683639.43,21641020.07,11054021.95,8921613.85,8921323.33,290.52,0,1151756.38,243425.26,657661.08,8607.72,4315845.49,4208030.98,3963948.13,215715.46,12453.14,14702.4,1211.85,0,42619.36
2611606,PE,1625583,Recife,4257454191.52,4245901155.68,581069778.7,336671320.47,143041691.51,101356766.72,720474230.89,0,2314128890.53,2261086261.88,964392653.75,524301379.94,524294410.68,6969.26,0,395469844.7,11330850.25,26871323,1745921.2,1022475294.71,1018132909.92,805584109.15,209696551.84,1322252.68,1529996.25,0,0,43906377.06
2611705,PE,20286,Riacho das Almas,46920473.13,48429578.58,792513.8,98524.13,686888.22,7101.45,511471.93,0,43249320.3,42415732.02,23915156.07,17849420.26,17842646.77,6773.49,0,4097813.94,488370.75,1330808.1,8071.4,4473802.51,4371439.9,3730758.71,600561.71,6223.9,33895.58,0,1458514.04,833588.28
2611804,PE,46877,Ribeirão,74633358.8,77870083.66,1081573.39,146170.77,935402.62,0,0,0,71946678.71,71946116.65,40821382.78,29746508.86,29737744.64,8764.22,0,8042125.07,770219.69,1979083.53,19411.56,10099762.73,9748321.37,8976398.23,686030.11,13800.08,63312.31,8780.64,0,562.06
2611903,PE,23282,Rio Formoso,51511558.06,57274317.34,998689.6,49338.22,903103.68,46247.7,796555.04,0,54743741.5,54743741.5,24605103.15,17846195.76,17842646.78,3548.98,0,4292495.8,575125.69,1720373.15,28104.68,13840903.14,13799949.11,13008315.54,486279.11,21702.35,35104.49,248547.62,0,0
2612000,PE,10247,Sairé,25921184.65,28472506.11,831167.7,430133.05,155288.19,245746.46,323359.06,0,26921226.56,26850756.16,16092584.65,11903043.55,11895097.87,7945.68,0,3076797.19,256013.05,720402.19,7622.76,3841114.76,3805114.76,3516849.28,242010.56,5826.86,20435.56,19992.5,0,70470.4
2612109,PE,10588,Salgadinho,21222719.34,23992427.41,313712.25,9579.22,300867.25,3265.78,154977.34,0,22658257.01,22658257.01,14097341.05,11896881.46,11895097.87,1783.59,0,1482411.41,193097.1,420724.87,9956.96,4753983.92,4735313.2,4600215.61,54394.52,7674.45,20368.8,52659.82,0,0
2612208,PE,60117,Salgueiro,119965057.19,120066274.66,3757454.01,531209.11,2574074.04,652170.86,11873833.21,0,87960333.16,87882851.31,48084943.44,32718949.9,32711519.02,7430.88,0,11183177.95,1451604.86,2445791.39,23761.96,14892053.23,14097217.87,10896824.25,3107452.29,18250.11,74691.22,0,0,73712.19
2612307,PE,15761,Saloá,54570015.11,50395794.23,277764.58,28.22,249102.34,28634.02,672923.73,0,48044043.12,48008251.44,32149119.41,14872032.26,14868872.27,3159.99,0,3990980.59,507622.29,1211245.84,5513.12,3535821.5,2920952.59,2544081.33,345507.46,4244.43,27119.37,0,0,35791.68
2612406,PE,25521,Sanharó,46181341.44,50058183.81,1485304.84,85979.67,1362206.45,37118.72,888220.88,0,43399927.36,43049806.38,26635982.09,20818723.98,20816421.21,2302.77,0,3502407.02,593260.99,1476355.05,7157.08,3779445.49,3779445.49,3309630.75,461201.85,5381.1,0,3231.79,0,350120.98
2612455,PE,15032,Santa Cruz,36590002.85,37872183.58,383707.16,14477.29,359887.02,9342.85,286929.55,0,34480551.79,34480551.79,20861532.98,14959456.47,14956018.28,3438.19,0,3808540.47,543404.85,1135837.38,7006.46,3281456.66,3168301.81,2825788.73,234964.79,7099.57,26562.73,73885.99,0,0
2612471,PE,12439,Santa Cruz da Baixa Verde,30709659.3,30447933.8,545977.46,59834.76,424936.91,61205.79,137390.55,0,27508658.96,27380236.51,16931362.69,11896062.04,11895097.87,964.17,0,3772765.08,325859.42,833897.53,7703.52,4093868.32,3946255.28,3531797.02,382161.39,10740.58,21556.29,0,0,128422.45
2612505,PE,103660,Santa Cruz do Capibaribe,161593002.95,170016991.52,6028977.17,2318593.01,2815596.98,894787.18,4524773.69,0,125022174.84,125000474.84,62811595.26,44608975.42,44606616.88,2358.54,0,13422341.47,1359473.35,3026048.32,40877.72,25493918.44,25060856.34,18868419.6,6018821.22,30677.49,113557.95,29380.08,0,21700
2612554,PE,14265,Santa Filomena,35854860.32,37468427.95,175578,646.65,167877.94,7053.41,383743.17,0,33385128.83,33269141.27,18900755.94,14871778.77,14868872.27,2906.5,0,2320595.03,344199.27,1227422.99,9449.1,4608323.05,4530110.48,4311220.18,185501.94,7222.86,26165.5,0,0,115987.56
2612604,PE,41475,Santa Maria da Boa Vista,,,,,,,,,,,,,,,,,,,,,,,,,,,,
