id,UF,População 2016,nome,Total da Despesa por Função per capita,Legislativa per capita,Judiciária per capita,Essencial à Justiça per capita,Administração per capita,Defesa Nacional per capita,Segurança Pública per capita,Relações Exteriores per capita,Assistência Social per capita,Previdência Social per capita,Saúde per capita,Trabalho per capita,Educação per capita,Cultura per capita,Direitos da Cidadania per capita,Urbanismo per capita,Habitação per capita,Saneamento per capita,Gestão Ambiental per capita,Ciência e Tecnologia per capita,Agricultura per capita,Organização Agrária per capita,Indústria per capita,Comércio e Serviços per capita,Comunicações per capita,Energia per capita,Transporte per capita,Desporto e Lazer per capita,Encargos Especiais per capita,TOTAL DA DESPESA POR FUNÇÃO (INTRAORÇAMENTÁRIA) per capita,TOTAL GERAL DA DESPESA POR FUNÇÃO per capita,IDHM 2010,IDHM Educação 2010,IDHM Longevidade 2010,IDHM Renda 2010,Receita Total,Receitas Correntes,IPTU,ITBI,ISS,Transferências Correntes,Transferências da União,FPM,ITR,SUS Fundo a Fundo - União,FNAS,FNDE,Transferências dos Estados
2919926,BA,20689,Madre de Deus,6890.55057808497,364.855073710668,,11.9870462564648,1594.45486055392,,109.360260524917,,287.389945381604,,1573.16827057857,32.2417709894147,1571.05980376045,224.665796316883,,752.794159215042,,,50.9175218715259,,,,,,,,,156.83355599594,160.822512929576,,6890.55057808497,0.708,0.667,0.794,0.67,150198986.15,172311121.61,2682335.76,27814.82,10624223.93,152320492.19,42463986.86,17715297.55,452.28,5741834.89,129499.83,624873.57,100292658.11
2919959,BA,4796,Maetinga,5183.25009799833,144.584107589658,,,474.450738115096,,,,80.3148352793995,,1304.89695788157,,2388.2948999166,101.526271893244,,497.282673060884,,65.064612176814,2.89824854045038,0.798999165971643,14.7880525437865,,,,,,35.8615929941618,0.158790658882402,72.3293181818182,,5183.25009799833,0.538,0.368,0.751,0.565,21172483.47,22780263.33,66405.96,2723.94,158801.91,21265125.26,13042112.99,8857648.76,3011.17,3303292.61,268049.8,534057.5,2463511.59
2920007,BA,10183,Maiquinique,2071.46531572228,67.3671805951095,,,351.449539428459,,,,,,458.570090346656,,872.585212609251,,,147.643804379849,,0.535303937935775,,,23.0982028871649,,,,,,141.879116174016,8.3368653638417,,,2071.46531572228,0.576,0.472,0.69,0.586,,,,,,,,,,,,,
2920106,BA,19736,Mairi,1957.16920551277,68.9818027969193,,,167.789234900689,,,,56.5076748074585,,457.260029387921,,775.742315565464,55.8032255776246,,272.810072456425,,,,,30.3436258613701,,,,,14.6373865018241,,0.517607417916498,56.7762302391569,,1957.16920551277,0.572,0.438,0.744,0.575,40952225.64,42900036.25,39960.39,37970.85,737742.25,40989888.4,25200143.65,17715632.57,6442.73,5637125.21,453281.93,1202251.98,3526120.31
2920205,BA,17491,Malhada,2101.28418901149,79.6550483105597,,,155.540014293065,,,,71.9979778171631,30.2385541135441,425.179391687153,,999.401763192499,16.2034760734092,,277.213739637528,,7.29846778343148,,,6.04545194671545,,,,,,8.53048253387457,0.317306043107884,23.6625155794409,,2101.28418901149,0.562,0.454,0.734,0.532,38163470.3,48381621.38,4494.9,32163.66,730982.93,46964386.45,22077951.48,17715297.55,17920.25,2188849.58,464954.88,1501246.91,5220169.49
2920304,BA,8875,Malhada de Pedras,1896.86827267606,79.617858028169,,,242.924864225352,,,,62.3541171830986,,417.211867042254,,897.513343098592,11.9268338028169,,163.640989295775,,,,,5.00916281690141,,,,,,0.0233340845070423,0.219222535211268,16.4266805633803,,1896.86827267606,0.578,0.471,0.747,0.549,,,,,,,,,,,,,
2920403,BA,14364,Manoel Vitorino,2591.48522277917,93.7949693678641,,,268.637740879978,,51.9868776106934,,77.6098475355054,,447.673144667224,,1321.35757518797,2.67098301308828,,257.059187552214,,6.34316972988026,,,24.1050201893623,,,,,,23.9155632135895,2.17768518518519,14.1534586466165,,2591.48522277917,0.566,0.456,0.741,0.538,35591410.33,37987089.18,22903.53,41868.54,1560500.32,35398496.67,19403152.47,14890774.83,17632.92,2512704.28,307932.61,1401557.61,3338643.87
2920452,BA,13864,Mansidão,1998.46258655511,86.4088856030006,,,354.661841459896,,2.08555755914599,,42.7430113964224,,349.043058280439,,902.385625360646,,,168.270830929025,,17.4703296306982,,,,,,,,,,33.590973744951,41.8024725908829,,1998.46258655511,0.599,0.568,0.752,0.503,28499893.6,31886416.16,1862.94,18430,393154.88,31041005.12,17539538.84,14762747.97,14990.73,1478670.58,154516.03,974841.27,3895192.51
2920502,BA,23373,Maracás,2134.01658879904,68.4486360330296,,,174.848720318316,,8.15075600051341,,86.1636311128225,,511.945051555213,,898.735053694434,29.4602494331066,,315.485790014119,,,0.113421469216617,,24.1150267402559,,,,,,,3.62441235613742,12.9258400718778,,2134.01658879904,0.607,0.519,0.747,0.577,50195869.74,54414226.25,191387.54,35655.56,2630727.97,49544177.64,27939611.64,19193723.19,175401.74,4335685.16,759289.76,2252638.27,5033904.69
2920601,BA,46106,Maragogipe,1734.5350791654,83.8591801500889,,,239.798623823364,,,,54.294281655316,,351.022679260834,,721.399767275409,29.8800655012363,,185.629079512428,,,,,,,,,,8.58232399253893,4.50266776558365,6.7223673708411,48.8440428577625,,1734.5350791654,0.621,0.518,0.793,0.582,76536807.65,84786182.12,759496.21,48399.2,2524305.18,76466418.13,39082493.47,29525495.94,18944.13,4156790.21,1550197.51,2625281.9,14775415.63
2920700,BA,21246,Maraú,2338.81460839688,77.3992356208227,,,475.447435281935,,,,64.775319118893,,413.990779911513,,1179.39649251624,0.0447142991621952,,88.6234411183281,,7.28904076061376,,,7.44046220465029,,,3.00527158053281,,0.266407794408359,21.1360081897769,,,,2338.81460839688,0.593,0.404,0.801,0.643,51026388.99,53820597.56,567457.56,1081016.93,1088643.71,48684183.76,24476202.56,17715297.55,204944.18,4015167.67,469291.83,1850712.04,4667077.37
2920809,BA,10941,Marcionílio Souza,2372.90364226305,42.2117576089937,,,464.500887487433,,,,83.8281007220547,49.4114806690431,486.426466502148,,1085.55442555525,1.92472351704597,,115.151148889498,,,,,12.7787295494013,,,,,8.33398226853121,,0.53943880815282,22.2425006854949,,2372.90364226305,0.561,0.463,0.737,0.518,,,,,,,,,,,,,
2920908,BA,14800,Mascote,2098.06569864865,79.8778135135135,,0.135135135135135,250.42440472973,,,,71.1734209459459,,368.753032432432,,991.707871621622,5.18106756756757,,230.168941216216,,3.66984662162162,5.52702702702703,,1.777425,,,,,,,50.8111493243243,38.8585635135135,,2098.06569864865,0.581,0.464,0.744,0.567,31210180.46,33916657.74,1296.2,13113.41,1121082.88,32206231.43,18042329.3,14762747.97,12999.13,1989183.29,374419.89,731572.43,3700277.79
2921005,BA,46392,Mata de São João,3756.31024486981,150.842689256768,,,460.168406837386,,,,75.9054246421797,,712.189702103811,,1464.70713291085,120.15985665632,,601.204042507329,,26.6680100017244,5.07157290050009,,9.05232152095189,,,3.28397137437489,,,,35.8087661665804,91.2483479910329,,3756.31024486981,0.668,0.562,0.818,0.648,178345587.41,178463792.58,20829788.43,10138833.29,39738559.11,96456078.93,47436232.86,29525495.94,101378.86,11189499.52,658778.94,3408559.25,11299982.84
2921054,BA,12404,Matina,1990.20243953563,71.6494542083199,,,229.012337955498,,0.951950983553692,,46.9400314414705,11.5687286359239,449.505659464689,,854.990461947759,9.57310141889713,,254.510785230571,,11.7974887133183,,,8.39404627539503,,,,1.97516930022573,9.9130772331506,13.4539293776201,0.875887616897775,15.0903297323444,,1990.20243953563,0.572,0.469,0.74,0.538,24836071.09,27452315.1,5120.9,2185,351591.73,26561812.25,15348188.97,11810198.36,3031.33,2297678.69,206328.76,916841.45,2853062.16
2921104,BA,23535,Medeiros Neto,2015.43195623539,74.1681691098364,,,433.07162311451,,,,64.8021172721479,,545.783423836839,,703.016706182282,9.816530698959,24.5217106437221,130.400384108774,,,,,0.0373911196090928,,,,,,,1.40463012534523,28.4092700233695,,2015.43195623539,0.625,0.501,0.777,0.626,49316166.14,54547782.24,0,426600.78,661859.05,52441380.14,27314909.68,17716159.08,190830.6,6703580.01,612616.34,1343345.55,9737741.95
2921203,BA,27600,Miguel Calmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.586,0.472,0.745,0.571,44134782.46,47655613.36,90440.78,22992.22,687033.38,45515363.37,27176775.83,20667847.17,12447.34,4321884.63,740257.05,1210798.1,4582948.59
